event_type,time
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
arrival,77.0
completion,77.0
completion,77.0
completion,77.0
completion,77.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
arrival,78.0
completion,78.0
completion,78.0
completion,78.0
completion,78.0
recovery,79.0
failure,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
arrival,79.0
completion,79.0
completion,79.0
completion,79.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
arrival,80.0
completion,80.0
completion,80.0
completion,80.0
completion,80.0
recovery,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
arrival,81.0
completion,81.0
completion,81.0
completion,81.0
arrival,82.0
arrival,82.0
arrival,82.0
arrival,82.0
arrival,82.0
completion,82.0
completion,82.0
completion,82.0
completion,82.0
completion,82.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
arrival,83.0
completion,83.0
completion,83.0
completion,83.0
completion,83.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
arrival,84.0
completion,84.0
completion,84.0
completion,84.0
completion,84.0
completion,84.0
failure,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
arrival,85.0
completion,85.0
completion,85.0
completion,85.0
completion,85.0
failure,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
arrival,86.0
completion,86.0
completion,86.0
completion,86.0
recovery,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
arrival,87.0
completion,87.0
completion,87.0
failure,88.0
failure,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
arrival,88.0
completion,88.0
completion,88.0
recovery,89.0
recovery,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
arrival,89.0
completion,89.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
arrival,90.0
completion,90.0
completion,90.0
completion,90.0
completion,90.0
recovery,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
arrival,91.0
completion,91.0
completion,91.0
completion,91.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
arrival,92.0
completion,92.0
completion,92.0
completion,92.0
completion,92.0
completion,92.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
arrival,93.0
completion,93.0
completion,93.0
completion,93.0
completion,93.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
arrival,94.0
completion,94.0
completion,94.0
completion,94.0
completion,94.0
completion,94.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
arrival,95.0
completion,95.0
completion,95.0
completion,95.0
completion,95.0
completion,95.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
arrival,96.0
completion,96.0
completion,96.0
completion,96.0
completion,96.0
completion,96.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
arrival,97.0
completion,97.0
completion,97.0
completion,97.0
completion,97.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
arrival,98.0
completion,98.0
completion,98.0
completion,98.0
completion,98.0
completion,98.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
arrival,99.0
completion,99.0
completion,99.0
completion,99.0
completion,99.0
completion,99.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
arrival,100.0
completion,100.0
completion,100.0
completion,100.0
completion,100.0
completion,100.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
arrival,101.0
completion,101.0
completion,101.0
completion,101.0
completion,101.0
completion,101.0
failure,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
arrival,102.0
completion,102.0
completion,102.0
completion,102.0
completion,102.0
failure,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
arrival,103.0
completion,103.0
completion,103.0
completion,103.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
arrival,104.0
completion,104.0
completion,104.0
recovery,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
arrival,105.0
completion,105.0
completion,105.0
completion,105.0
recovery,106.0
arrival,106.0
completion,106.0
completion,106.0
completion,106.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
arrival,107.0
